Code Prefix,Code,Category,Sex,Age,2006,2011,2016
T01,T01,Age & Sex,Males,41,181,231,218
T01,T01,Age & Sex,Females,41,177,234,217
T01,T01,Age & Sex,Persons,42,378,410,455
T02,T02-1,Marital Status,Males,15 - 19,761,871,803
T02,T02-1,Marital Status,Females,15 - 19,751,752,801
T02,T02-1,Marital Status,Persons,15 - 19,1507,1622,1606
T02,T02-2,Marital Status,Males,15 - 19,0,0,0
T02,T02-2,Marital Status,Females,15 - 19,0,0,0
T02,T02-2,Marital Status,Persons,15 - 19,0,0,0
T02,T02-2,Marital Status,Males,20 - 24,0,0,0
T02,T02-2,Marital Status,Females,20 - 24,0,0,0
T02,T02-2,Marital Status,Persons,20 - 24,0,0,0
T02,T02-2,Marital Status,Males,25 - 29,0,0,0
T02,T02-2,Marital Status,Males,30 - 34,0,0,0
T02,T02-2,Marital Status,Males,35 - 39,0,6,3
T02,T02-3,Marital Status,Males,15 - 19,0,0,0
T02,T02-3,Marital Status,Females,15 - 19,0,0,0
T02,T02-3,Marital Status,Persons,15 - 19,0,5,0
T02,T02-4,Marital Status,Males,15 - 19,3,0,0
T02,T02-4,Marital Status,Persons,15 - 19,3,0,0
T02,T02-4,Marital Status,Males,20 - 24,3,0,0
T02,T02-4,Marital Status,Females,20 - 24,3,13,3
T02,T02-4,Marital Status,Females,15 - 19,4,0,0
T02,T02-5,Marital Status,Males,15 - 19,0,4,4
T02,T02-5,Marital Status,Females,15 - 19,8,9,3
T02,T02-5,Marital Status,Persons,15 - 19,13,13,7
T02,T02-TOT,Marital Status,Males,15 - 19,762,881,808
T02,T02-TOT,Marital Status,Females,15 - 19,760,763,810
T02,T02-TOT,Marital Status,Persons,15 - 19,1528,1641,1614
T02,T02-1,Marital Status,Males,20 - 24,1450,1706,1634
T02,T02-1,Marital Status,Females,20 - 24,1484,1529,1409
T02,T02-1,Marital Status,Persons,20 - 24,2934,3239,3044
T02,T02-3,Marital Status,Males,20 - 24,3,0,4
T02,T02-3,Marital Status,Females,20 - 24,3,7,0
T02,T02-3,Marital Status,Persons,20 - 24,6,9,4
T02,T02-4,Marital Status,Persons,20 - 24,10,14,4
T02,T02-5,Marital Status,Males,20 - 24,54,66,63
T02,T02-5,Marital Status,Females,20 - 24,101,150,145
T02,T02-5,Marital Status,Persons,20 - 24,151,214,211
T02,T02-TOT,Marital Status,Males,20 - 24,1506,1771,1703
T02,T02-TOT,Marital Status,Females,20 - 24,1592,1702,1565
T02,T02-TOT,Marital Status,Persons,20 - 24,3095,3474,3266
T02,T02-1,Marital Status,Males,25 - 29,1111,1586,1644
T02,T02-1,Marital Status,Females,25 - 29,973,1155,1400
T02,T02-1,Marital Status,Persons,25 - 29,2090,2742,3044
T02,T02-2,Marital Status,Females,25 - 29,6,0,3
T02,T02-2,Marital Status,Females,30 - 34,6,3,0
T02,T02-2,Marital Status,Persons,30 - 34,6,3,0
T02,T02-2,Marital Status,Persons,25 - 29,4,0,4
T02,T02-2,Marital Status,Females,35 - 39,4,4,4
T02,T02-3,Marital Status,Males,25 - 29,22,11,11
T02,T02-3,Marital Status,Females,25 - 29,22,18,28
T02,T02-3,Marital Status,Persons,25 - 29,42,26,37
T02,T02-4,Marital Status,Males,25 - 29,9,12,7
T02,T02-4,Marital Status,Females,25 - 29,20,15,28
T02,T02-4,Marital Status,Persons,25 - 29,35,31,37
T02,T02-5,Marital Status,Males,25 - 29,251,473,412
T02,T02-5,Marital Status,Females,25 - 29,388,684,627
T02,T02-5,Marital Status,Persons,25 - 29,642,1158,1038
T02,T02-TOT,Marital Status,Males,25 - 29,1400,2086,2081
T02,T02-TOT,Marital Status,Females,25 - 29,1412,1870,2079
T02,T02-TOT,Marital Status,Persons,25 - 29,2815,3959,4155
T02,T02-1,Marital Status,Males,30 - 34,733,809,1079
T02,T02-1,Marital Status,Females,30 - 34,576,644,845
T02,T02-1,Marital Status,Persons,30 - 34,1310,1458,1918
T02,T02-3,Marital Status,Males,30 - 34,47,36,48
T02,T02-3,Marital Status,Females,30 - 34,91,56,65
T02,T02-3,Marital Status,Persons,30 - 34,142,95,116
T02,T02-4,Marital Status,Males,30 - 34,28,23,27
T02,T02-4,Marital Status,Females,30 - 34,47,33,42
T02,T02-4,Marital Status,Persons,30 - 34,80,58,70
T02,T02-5,Marital Status,Males,30 - 34,569,827,922
T02,T02-5,Marital Status,Females,30 - 34,660,865,1011
T02,T02-5,Marital Status,Persons,30 - 34,1232,1693,1932
T02,T02-TOT,Marital Status,Males,30 - 34,1382,1699,2074
T02,T02-TOT,Marital Status,Females,30 - 34,1387,1605,1954
T02,T02-TOT,Marital Status,Persons,30 - 34,2769,3305,4032
T02,T02-1,Marital Status,Males,35 - 39,485,506,553
T02,T02-1,Marital Status,Females,35 - 39,382,384,420
T02,T02-1,Marital Status,Persons,35 - 39,870,896,975
T02,T02-2,Marital Status,Persons,35 - 39,5,7,5
T02,T02-3,Marital Status,Males,35 - 39,109,70,60
T02,T02-3,Marital Status,Females,35 - 39,98,117,84
T02,T02-3,Marital Status,Persons,35 - 39,206,182,150
T02,T02-4,Marital Status,Males,35 - 39,38,32,48
T02,T02-4,Marital Status,Females,35 - 39,50,43,44
T02,T02-4,Marital Status,Persons,35 - 39,93,80,92
T02,T02-5,Marital Status,Males,35 - 39,532,809,871
T02,T02-5,Marital Status,Females,35 - 39,516,725,842
T02,T02-5,Marital Status,Persons,35 - 39,1054,1538,1712
T02,T02-TOT,Marital Status,Males,35 - 39,1172,1423,1533
T02,T02-TOT,Marital Status,Females,35 - 39,1051,1280,1399
T02,T02-TOT,Marital Status,Persons,35 - 39,2224,2698,2932
T02,T02-1,Marital Status,Males,40 - 44,309,386,340
T02,T02-1,Marital Status,Females,40 - 44,197,275,306
T02,T02-1,Marital Status,Persons,40 - 44,510,657,644
T02,T02-2,Marital Status,Males,40 - 44,3,0,4
T02,T02-2,Marital Status,Females,40 - 44,11,14,10
T02,T02-2,Marital Status,Persons,40 - 44,11,12,15
T02,T02-3,Marital Status,Males,40 - 44,146,103,85
T02,T02-3,Marital Status,Females,40 - 44,174,116,110
T02,T02-3,Marital Status,Persons,40 - 44,316,224,194
T02,T02-4,Marital Status,Males,40 - 44,44,37,46
T02,T02-4,Marital Status,Females,40 - 44,53,34,46
T02,T02-4,Marital Status,Persons,40 - 44,97,69,93
T02,T02-5,Marital Status,Males,40 - 44,451,602,696
T02,T02-5,Marital Status,Females,40 - 44,449,594,639
T02,T02-5,Marital Status,Persons,40 - 44,902,1200,1335
T02,T02-TOT,Marital Status,Males,40 - 44,951,1139,1172
T02,T02-TOT,Marital Status,Females,40 - 44,879,1030,1118
T02,T02-TOT,Marital Status,Persons,40 - 44,1836,2161,2291
T03,T03-TOT,Social Marital Status,Males,15 - 19,599,704,660
T03,T03-TOT,Social Marital Status,Females,15 - 19,612,605,628
T03,T03-TOT,Social Marital Status,Persons,15 - 19,1211,1305,1289
T03,T03-1,Social Marital Status,Males,15 - 19,0,0,0
T03,T03-1,Social Marital Status,Females,15 - 19,4,4,0
T03,T03-1,Social Marital Status,Persons,15 - 19,4,4,3
T03,T03-2,Social Marital Status,Males,15 - 19,10,16,14
T03,T03-2,Social Marital Status,Females,15 - 19,24,32,16
T03,T03-2,Social Marital Status,Persons,15 - 19,36,47,35
T03,T03-3,Social Marital Status,Males,15 - 19,586,689,645
T03,T03-3,Social Marital Status,Females,15 - 19,584,568,606
T03,T03-3,Social Marital Status,Persons,15 - 19,1171,1253,1250
T03,T03-TOT,Social Marital Status,Males,20 - 24,1170,1405,1411
T03,T03-TOT,Social Marital Status,Females,20 - 24,1229,1356,1254
T03,T03-TOT,Social Marital Status,Persons,20 - 24,2398,2761,2667
T03,T03-1,Social Marital Status,Males,20 - 24,37,49,33
T03,T03-1,Social Marital Status,Females,20 - 24,73,127,98
T03,T03-1,Social Marital Status,Persons,20 - 24,113,175,135
T03,T03-2,Social Marital Status,Males,20 - 24,147,140,140
T03,T03-2,Social Marital Status,Females,20 - 24,243,237,214
T03,T03-2,Social Marital Status,Persons,20 - 24,395,377,360
T03,T03-3,Social Marital Status,Males,20 - 24,977,1217,1234
